"id","authors_eng","book_authors","group_authors","book_group_authors","researcherid","orcid","editors","Z2","title","X1","Y1","Z1","FT","part_patent","AE","Z3","source_title","S1","book_series_title","book_series_subtitle","volume","issue","special_issue","meeting_abstract_number","start_page","ending_page","article_number","doi","book_doi","supplement","pub_date","pub_year","abstract","X4","Y4","Z4","AK","conference_title","conference_date","conference_sponsor","conference_location","cited_wos_core","Z8","ZR","ZB","ZS","Z9","usage_last_180","usage_2013","issn","eissn","isbn","accession_num","pubmed_id","pub_type","sig_fault","diff_time","orig_article_journal","orig_article_year_volume","orig_article_issue","orig_article_page","orig_article_link","orig_article_animal","orig_article_methods_used","orig_article_main_q","orig_article_type_of_state_manipulation","orig_article_within_between_ss","orig_article_dependent_variable","orig_article_country_authors","orig_article_seriousness_of_mistake"
"150","Ricceri, Laura; De Filippis, Bianca; Laviola, Giovanni",NA,NA,NA,"De Filippis, Bianca/I-1778-2012","Ricceri, Laura/0000-0001-9850-2284; De Filippis, Bianca/0000-0002-6508-1206",NA,NA,"Rett syndrome treatment in mouse models: Searching for effective targets and strategies",NA,NA,NA,NA,NA,NA,NA,"NEUROPHARMACOLOGY",NA,NA,NA,"68",NA,"SI",NA,"106","115",NA,"10.1016/j.neuropharm.2012.08.010",NA,NA,"41395","2013","Rett syndrome (RTT) is a pervasive developmental disorder, primarily affecting girls with a prevalence of 1 in every 10,000 births; it represents the second most common cause of intellectual disability in females. Mutations in the gene encoding methyl-CpG-binding protein 2 (MECP2) have been identified as clear etiological factors in more than 90% of classical RTT cases. Whereas the mechanisms leading to the severe, progressive and specific neurological dysfunctions when this gene is mutated still remain to be elucidated, a series of different mouse models have been generated, bearing different Mecp2 mutation. Neurobehavioural analysis in these mouse lines have been carried out and phenotyping analysis can be now utilised to preclinically evaluate the effects of potential WIT treatments. This review summarizes the different results achieved in this research field taking into account different key targets identified to ameliorate WIT phenotype in mouse models, including those not directly downstream of MeCP2 and those limited to the early phases of postnatal development.This article is part of the Special Issue entitled 'Neurodevelopmental Disorders'. (c) 2012 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,"12","0","0","10","0","12",NA,NA,"0028-3908",NA,NA,"WOS:000317371100005","22940001","J",1,2,"JoN","2009","01-Apr","4223","13","mice","anxiety, MeCP2-Mediated Transcription Repression","YES","vehicle vs. SAHA","between","behavioral","US","potentially serious"
"84","Chung, Won-Suk; Allen, Nicola J.; Eroglu, Cagla",NA,NA,NA,NA,NA,NA,NA,"Astrocytes Control Synapse Formation, Function, and Elimination",NA,NA,NA,NA,NA,NA,NA,"COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY",NA,NA,NA,"7","9",NA,NA,NA,NA,"a020370","10.1101/cshperspect.a020370",NA,NA,"42248","2015","Astrocytes, through their close associations with synapses, can monitor and alter synaptic function, thus actively controlling synaptic transmission in the adult brain. Besides their important role at adult synapses, in the last three decades a number of critical findings have highlighted the importance of astrocytes in the establishment of synaptic connectivity in the developing brain. In this article, we will review the key findings on astrocytic control of synapse formation, function, and elimination. First, we will summarize our current structural and functional understanding of astrocytes at the synapse. Then, we will discuss the cellular and molecular mechanisms through which developing and mature astrocytes instruct the formation, maturation, and refinement of synapses. Our aim is to provide an overview of astrocytes as important players in the establishment of a functional nervous system.",NA,NA,NA,NA,NA,NA,NA,NA,"3","0","0","3","0","3",NA,NA,"1943-0264",NA,NA,"WOS:000364532300006","25663667","J",1,4,"Nature","2009","17-Dec","916","8389","mice","training-induced spine formation and elimination","YES","training/nontraining effects in ipsi vs. contralateral motor cortex","between","percentage of spine formation and elimination","US","potentially serious: probably still significant but much less so"
"2","Vadovicova, Karin",NA,NA,NA,NA,NA,NA,NA,"Affective and cognitive prefrontal cortex projections to the lateral habenula in humans",NA,NA,NA,NA,NA,NA,NA,"FRONTIERS IN HUMAN NEUROSCIENCE",NA,NA,NA,"8",NA,NA,NA,NA,NA,"819","10.3389/fnhurn.2014.00819",NA,NA,"OCT 27 2014","2014","Anterior insula (Al) and dorsal ACC (dACC) are known to process information about pain, loss, adversities, bad, harmful or suboptimal choices and consequences that threaten survival or well-being. Also pregenual ACC (pgACC) is linked to loss and pain, being activated by sad thoughts and regrets. Lateral habenula (LHb) is stimulated by predicted and received pain, discomfort, aversive outcome, loss. Its chronic stimulation makes us feel worse/low and gradually stops us choosing and moving for the suboptimal or punished choices, by direct and indirect (via rostromedial tegmental nucleus, RMTg) inhibition of dorsal raphe nucleus (DAN) and VTA/SNc. The response selectivity of LHb neurons suggests their cortical input from affective and cognitive evaluative regions that make expectations about bad, unpleasant or suboptimal outcomes. Based on these facts I predicted direct dACC, pgACC and Al projections to LHb, which form part of an adversity processing circuit that learns to avoid bad outcomes by suppressing dopamine and serotonin signal. To test this connectivity I used Diffusion Tensor Imaging (DTI). I found dACC, pgACC, Al and caudolateral OFC (cIOFC) projections to LHb. I predicted no corticohabenular projections from the reward processing regions: medial OFC (mOFC) and ventral ACC (vACC) because both respond most strongly to good, high valued stimuli and outcomes, inducing dopamine and serotonin release. This lack of LHb projections was confirmed for vACC and likely for rnOFC. The surprising findings were the corticohabenular projections from the cognitive prefrontal cortex regions, known for flexible reasoning, planning and combining whatever information are relevant for reaching current goals. I propose that the prefrontohabenular projections provide a teaching signal for value-based choice behavior, to learn to deselect, avoid or inhibit the potentially harmful, low valued or wrong choices, goals, strategies, predictions and ways of doing things, to prevent bad or suboptimal consequences.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"1662-5161",NA,NA,"WOS:000343749200001","25386128","J",1,3,"NN","2010 (13)","11","1354","http://www.nature.com/neuro/journal/v13/n11/pdf/nn.2654.pdf","zebrafish","genetic inactivation, behavior","YES","genetic inactivation","between","behavioral","Japan","potentially serious, ook vb van voormeting, nameting apart"
"97","van Zessen, Ruud; Phillips, Jana L.; Budygin, Evgeny A.; Stuber, Garret D.",NA,NA,NA,NA,NA,NA,NA,"Activation of VTA GABA Neurons Disrupts Reward Consumption",NA,NA,NA,NA,NA,NA,NA,"NEURON",NA,NA,NA,"73","6",NA,NA,"1184","1194",NA,"10.1016/j.neuron.2012.02.016",NA,NA,"MAR 22 2012","2012","The activity of ventral tegmental area (VTA) dopamine (DA) neurons promotes behavioral responses to rewards and environmental stimuli that predict them. VTA GABA inputs synapse directly onto DA neurons and may regulate DA neuronal activity to alter reward-related behaviors; however, the functional consequences of selective activation of VTA GABA neurons remains unknown. Here, we show that in vivo optogenetic activation of VTA GABA neurons disrupts reward consummatory behavior but not conditioned anticipatory behavior in response to reward-predictive cues. In addition, direct activation of VTA GABA projections to the nucleus accumbens (NAc) resulted in detectable GABA release but did not alter reward consumption. Furthermore, optogenetic stimulation of VTA GABA neurons directly suppressed the activity and excitability of neighboring DA neurons as well as the release of DA in the NAc, suggesting that the dynamic interplay between VTA DA and GABA neurons can control the initiation and termination of reward-related behaviors.",NA,NA,NA,NA,NA,NA,NA,NA,"135","1","0","117","1","135",NA,NA,"0896-6273",NA,NA,"WOS:000301998700015","22445345","J",1,1,"Science","2009","22-May","1083","5930","mice","optogenetic tools, DA neurons","YES","phasic vs. tonic","between","behavioral","US ","potentially serious"
"84","Maya-Vetencourt, Jose Fernando; Origlia, Nicola",NA,NA,NA,"Maya-Vetencourt, Jose Fernando/F-3566-2011",NA,NA,NA,"Visual Cortex Plasticity: A Complex Interplay of Genetic and Environmental Influences",NA,NA,NA,NA,NA,NA,NA,"NEURAL PLASTICITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"631965","10.1155/2012/631965",NA,NA,"2012","2012","The central nervous system architecture is highly dynamic and continuously modified by sensory experience through processes of neuronal plasticity. Plasticity is achieved by a complex interplay of environmental influences and physiological mechanisms that ultimately activate intracellular signal transduction pathways regulating gene expression. In addition to the remarkable variety of transcription factors and their combinatorial interaction at specific gene promoters, epigenetic mechanisms that regulate transcription have emerged as conserved processes by which the nervous system accomplishes the induction of plasticity. Experience-dependent changes of DNA methylation patterns and histone posttranslational modifications are, in fact, recruited as targets of plasticity-associated signal transduction mechanisms. Here, we shall concentrate on structural and functional consequences of early sensory deprivation in the visual system and discuss how intracellular signal transduction pathways associated with experience regulate changes of chromatin structure and gene expression patterns that underlie these plastic phenomena. Recent experimental evidence for mechanisms of cross-modal plasticity following congenital or acquired sensory deprivation both in human and animal models will be considered as well. We shall also review different experimental strategies that can be used to achieve the recovery of sensory functions after long-term deprivation in humans.",NA,NA,NA,NA,NA,NA,NA,NA,"13","0","0","13","0","13",NA,NA,"0792-8483",NA,NA,"WOS:000307588000001",NA,"J",1,1,"Nature","2009","17-Dec","916","8389","mice","training-induced spine formation and elimination","YES","training/nontraining effects in ipsi vs. contralateral motor cortex","between","percentage of spine formation and elimination","US","potentially serious: probably still significant but much less so"
"1","Huang, Fengzhen; Tang, Beisha; Jiang, Hong",NA,NA,NA,NA,NA,NA,NA,"Optogenetic Investigation of Neuropsychiatric Diseases",NA,NA,NA,NA,NA,NA,NA,"INTERNATIONAL JOURNAL OF NEUROSCIENCE",NA,NA,NA,"123","1",NA,NA,"7","16",NA,"10.3109/00207454.2012.728651",NA,NA,"41275","2013","Optogenetic technology, also known as optogenetics, is a novel multidisciplinary field in biotechnology that integrates genetic engineering, electrophysiology, and optical and electronic engineering. This recently developed technology has evolved rapidly and generated considerable excitement in neuroscience research. This technology successfully solves the severe problem of achieving both high temporal and spatial precision within intact neural tissues of animals that electrical stimulation and pharmacological methods cannot achieve. It allows neurons to express light-sensitive genes that enable the identification, dissection, and manipulation of specific neural populations and their connections in the tissues and organs of awake animals with unprecedented spatial and temporal precision. Light-sensitive genes chiefly including the genetically targeted light-gated channels channelrhodopsin-2 (ChR2) and halorhodopsin (NpHR) cause intracellular ion flow during optical illumination. Subsequently, the neurons undergo a series of changes resulting from membrane depolarization or hyperpolarization. To date, there are many published research articles and reviews that describe this new technology; however, few of the reports concern its application to neuropsychiatric diseases. In this review, we summarize the most recent optogenetic research in these diseases, including Parkinson's disease (PD), epilepsy, schizophrenia, anxiety, fear, reward behaviors, and sleep disorders. We propose that novel optogenetics technology creates excellent opportunities for innovative treatment strategies of neuropsychiatric diseases.",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1",NA,NA,"0020-7454",NA,NA,"WOS:000312955300002","23002710","J",1,2,"NN","2010 (13)","12","1526","http://www.nature.com/neuro/journal/v13/n12/pdf/nn.2682.pdf","mice","optogenetic, EEG, behavioral","YES","optogenetic","between","behavioral","US","potentially serious"
"89","Foxe, John J.; Molholm, Sophie; Del Bene, Victor A.; Frey, Hans-Peter; Russo, Natalie N.; Blanco, Daniella; Saint-Amour, Dave; Ross, Lars A.",NA,NA,NA,NA,"Frey, Hans-Peter/0000-0002-1026-008X; Foxe, John/0000-0002-4300-3098",NA,NA,"Severe Multisensory Speech Integration Deficits in High-Functioning School-Aged Children with Autism Spectrum Disorder (ASD) and Their Resolution During Early Adolescence",NA,NA,NA,NA,NA,NA,NA,"CEREBRAL CORTEX",NA,NA,NA,"25","2",NA,NA,"298","312",NA,"10.1093/cercor/bht213",NA,NA,"42036","2015","Under noisy listening conditions, visualizing a speaker's articulations substantially improves speech intelligibility. This multisensory speech integration ability is crucial to effective communication, and the appropriate development of this capacity greatly impacts a child's ability to successfully navigate educational and social settings. Research shows that multisensory integration abilities continue developing late into childhood. The primary aim here was to track the development of these abilities in children with autism, since multisensory deficits are increasingly recognized as a component of the autism spectrum disorder (ASD) phenotype. The abilities of high-functioning ASD children (n = 84) to integrate seen and heard speech were assessed cross-sectionally, while environmental noise levels were systematically manipulated, comparing them with age-matched neurotypical children (n = 142). Severe integration deficits were uncovered in ASD, which were increasingly pronounced as background noise increased. These deficits were evident in school-aged ASD children (5-12 year olds), but were fully ameliorated in ASD children entering adolescence (13-15 year olds). The severity of multisensory deficits uncovered has important implications for educators and clinicians working in ASD. We consider the observation that the multisensory speech system recovers substantially in adolescence as an indication that it is likely amenable to intervention during earlier childhood, with potentially profound implications for the development of social communication abilities in ASD children.",NA,NA,NA,NA,NA,NA,NA,NA,"14","0","0","9","0","14",NA,NA,"1047-3211","1460-2199",NA,"WOS:000351935300003","23985136","J",1,4,"Nature","2009","14-May","259","7868","human","viewing preference in autism","YES","autism vs control","between","viewing preference","US","potentially serious"
"37","Pappas, Samuel S.; Leventhal, Daniel K.; Albin, Roger L.; Dauer, William T.",NA,NA,NA,NA,NA,"Srewart, CL",NA,"Mouse Models of Neurodevelopmental Disease of the Basal Ganglia and Associated Circuits",NA,NA,NA,NA,NA,NA,NA,"MOUSE MODELS OF THE NUCLEAR ENVELOPATHIES AND RELATED DISEASES",NA,"Current Topics in Developmental Biology",NA,"109",NA,NA,NA,"97","169",NA,"10.1016/B978-0-12-397920-9.00001-9",NA,NA,"2014","2014","This chapter focuses on neurodevelopmental diseases that are tightly linked to abnormal function of the striatum and connected structures. We begin with an overview of three representative diseases in which striatal dysfunction plays a key role Tourette syndrome and obsessive-compulsive disorder, Rett's syndrome, and primary dystonia. These diseases highlight distinct etiologies that disrupt striatal integrity and function during development, and showcase the varied clinical manifestations of striatal dysfunction. We then review striatal organization and function, including evidence for striatal roles in online motor control/action selection, reinforcement learning, habit formation, and action sequencing. A key barrier to progress has been the relative lack of animal models of these diseases, though recently there has been considerable progress. We review these efforts, including their relative merits providing insight into disease pathogenesis, disease symptomatology, and basal ganglia function.",NA,NA,NA,NA,NA,NA,NA,NA,"5","0","0","3","0","5",NA,NA,"0070-2153",NA,"978-0-12-397920-9","WOS:000338388900004","24947237","S",1,3,"Nature","2010","22-Jul","457","9263","mice","","YES","knockout mice vs controls","between","percentage of neurons with specific type of activity","US","potentially serious: relevant info is missing"
"6","Colgin, Laura Lee",NA,NA,NA,NA,NA,NA,NA,"Rhythms of the hippocampal network",NA,NA,NA,NA,NA,NA,NA,"NATURE REVIEWS NEUROSCIENCE",NA,NA,NA,"17","4",NA,NA,"239","249",NA,"10.1038/nrn.2016.21",NA,NA,"42461","2016","The hippocampal local field potential (LFP) shows three major types of rhythms: theta, sharp wave-ripples and gamma. These rhythms are defined by their frequencies, they have behavioural correlates in several species including rats and humans, and they have been proposed to carry out distinct functions in hippocampal memory processing. However, recent findings have challenged traditional views on these behavioural functions. In this Review, I discuss our current understanding of the origins and the mnemonic functions of hippocampal theta, sharp wave-ripples and gamma rhythms on the basis of findings from rodent studies. In addition, I present an updated synthesis of their roles and interactions within the hippocampal network.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"1471-003X","1471-0048",NA,"WOS:000372350800009","26961163","J",1,5,"NN","2010 (13)","","995","","rats","","YES","injection of NMDAR antagonist vs drug-free","between","correlation between memory performance and cell synchrony","UK","potentially serious (vergelijking sign en nonsign correlaties)"
"97","Shizgal, Peter",NA,NA,NA,NA,"Shizgal, Peter/0000-0003-4265-0792",NA,NA,"Scarce means with alternative uses: Robbins' definition of economics and its extension to the behavioral and neurobiological study of animal decision making",NA,NA,NA,NA,NA,NA,NA,"FRONTIERS IN NEUROSCIENCE",NA,NA,NA,"6",NA,NA,NA,NA,NA,"UNSP 20","10.3389/fnins.2012.00020",NA,NA,"2012","2012","Almost 80 years ago, Lionel Robbins proposed a highly influential definition of the subject matter of economics: the allocation of scarce means that have alternative ends. Robbins confined his definition to human behavior, and he strove to separate economics from the natural sciences in general and from psychology in particular. Nonetheless, I extend his definition to the behavior of non-human animals, rooting my account in psychological processes and their neural underpinnings. Some historical developments are reviewed that render such a view more plausible today than would have been the case in Robbins' time. To illustrate a neuroeconomic perspective on decision making in non-human animals, I discuss research on the rewarding effect of electrical brain stimulation. Central to this discussion is an empirically based, functional/computational model of how the subjective intensity of the electrical reward is computed and combined with subjective costs so as to determine the allocation of time to the pursuit of reward. Some successes achieved by applying the model are discussed, along with limitations, and evidence is presented regarding the roles played by several different neural populations in processes posited by the model. I present a rationale for marshaling convergent experimental methods to ground psychological and computational processes in the activity of identified neural populations, and I discuss the strengths, weaknesses, and complementarity of the individual approaches. I then sketch some recent developments that hold great promise for advancing our understanding of structure function relationships in neuroscience in general and in the neuroeconomic study of decision making in particular.",NA,NA,NA,NA,NA,NA,NA,NA,"3","0","0","3","0","3",NA,NA,"1662-453X",NA,NA,"WOS:000209165300036","22363253","J",1,1,"Science","2009","22-May","1083","5930","mice","optogenetic tools, DA neurons","YES","phasic vs. tonic","between","behavioral","US ","potentially serious"
"42","Greco, John A.; Liberzon, Israel",NA,NA,NA,NA,"Liberzon, Israel/0000-0002-4990-556X",NA,NA,"Neuroimaging of Fear-Associated Learning",NA,NA,NA,NA,NA,NA,NA,"NEUROPSYCHOPHARMACOLOGY",NA,NA,NA,"41","1",NA,NA,"320","334",NA,"10.1038/npp.2015.255",NA,NA,"42370","2016","Fear conditioning has been commonly used as a model of emotional learning in animals and, with the introduction of functional neuroimaging techniques, has proven useful in establishing the neurocircuitry of emotional learning in humans. Studies of fear acquisition suggest that regions such as amygdala, insula, anterior cingulate cortex, and hippocampus play an important role in acquisition of fear, whereas studies of fear extinction suggest that the amygdala is also crucial for safety learning. Extinction retention testing points to the ventromedial prefrontal cortex as an essential region in the recall of the safety trace, and explicit learning of fear and safety associations recruits additional cortical and subcortical regions. Importantly, many of these findings have implications in our understanding of the pathophysiology of psychiatric disease. Recent studies using clinical populations have lent insight into the changes in regional activity in specific disorders, and treatment studies have shown how pharmaceutical and other therapeutic interventions modulate brain activation during emotional learning. Finally, research investigating individual differences in neurotransmitter receptor genotypes has highlighted the contribution of these systems in fear-associated learning.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"0893-133X","1740-634X",NA,"WOS:000366598400020","26294108","J",1,5,"Science","2010","12-Feb","863","http://www.sciencemag.org/content/327/5967/863.full.pdf","human ","human, mice, polymorphisms, behavior","YES","early vs late trials","within","behavior","US","potentially serious: relevant info is missing"
"53","D'Amore, Drew E.; Tracy, Brittany A.; Parikh, Vinay",NA,NA,NA,NA,NA,NA,NA,"Exogenous BDNF facilitates strategy set-shifting by modulating glutamate dynamics in the dorsal striatum",NA,NA,NA,NA,NA,NA,NA,"NEUROPHARMACOLOGY",NA,NA,NA,"75",NA,"SI",NA,"312","323",NA,"10.1016/j.neuropharm.2013.07.033",NA,NA,"41609","2013","Brain-derived neurotrophic factor (BDNF) signaling via tropomyosin-related kinase B (trkB) receptors exerts modulatory effects on glutamatergic transmission, learning, memory and reward processing. Although the role of BDNF in the regulation of mnemonic and affective/motivational processes is well studied, whether this neurotrophin could also regulate executive functions is not known. In the present study, we assessed the effects of intrastriatal infusions on BDNF (1-100 ng/hemisphere) in mice performing an operant strategy set-shifting task that required the animals to eliminate a visual cue-based strategy and adopt a new egocentric spatial response strategy to achieve rewards. Exogenous BDNF administration facilitated the acquisition of strategy shifting by minimizing response perseveration to the previously acquired strategy and this effect resemble an inverted-U shaped dose response pattern. Faster acquisition of strategy switching in BDNF-infused animals was dependent upon the activation of striatal trkB receptors. Moreover, activation of mGluR2/3 receptors by the selective group II metabotropic receptor agonist LY379268 abolished BDNF-induced cognitive enhancement suggesting the involvement of presynaptic glutamatergic. activity. Assessment of striatal glutamate dynamics using electrochemical recordings indicated that local application of BDNF directly induces glutamate release by activating presynaptic trkB receptors on glutamatergic terminals, and this effect followed a bell-shaped dose response pattern similar to strategy shifting performance. These data suggest that activation of BDNF-trkB signaling in the dorsal striatum improves strategy switching by effectively minimizing response conflicts, and this effect primarily involves facilitation of glutamatergic transmission. Published by Elsevier Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,"9","0","0","9","0","9",NA,NA,"0028-3908","1873-7064",NA,"WOS:000330490300033","23958449","J",1,2,"Neuron","2010","","821","http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6WSS-50YV1JT-J-1&_cdi=7054&_user=530453&_pii=S0896627310006227&_origin=browse&_zone=rslt_list_item&_coverDate=09%2F09%2F2010&_sk=999329994&wchp=dGLbVlz-zSkzV&md5=216c14588fa7830bd984e07d2f267397&ie=/sdarticle.pdf","rats","low-level neurosci!","YES","time of measurement","within","surface expression of b3 subunit ","","potentially serious: relevant info is missing"
"56","Kim, Y. S.; Kim, T. H.; Mckemy, D. D.; Bae, Y. C.",NA,NA,NA,NA,NA,NA,NA,"EXPRESSION OF VESICULAR GLUTAMATE TRANSPORTERS IN TRANSIENT RECEPTOR POTENTIAL MELASTATIN 8 (TRPM8)-POSITIVE DENTAL AFFERENTS IN THE MOUSE",NA,NA,NA,NA,NA,NA,NA,"NEUROSCIENCE",NA,NA,NA,"303",NA,NA,NA,"378","388",NA,"10.1016/j.neuroscience.2015.07.013",NA,NA,"SEP 10 2015","2015","Transient receptor potential melastatin 8 (TRPM8) is activated by innocuous cool and noxious cold and plays a crucial role in cold-induced acute pain and pain hypersensitivity. To help understand the mechanism of TRPM8-mediated cold perception under normal and pathologic conditions, we used light microscopic immunohistochemistry and Western blot analysis in mice expressing a genetically encoded axonal tracer in TRPM8-positive (+) neurons. We investigated the coexpression of TRPM8 and vesicular glutamate transporter 1 (VGLUT1) and VGLUT2 in the trigeminal ganglion (TG) and the dental pulp before and after inducing pulpal inflammation. Many TRPM8+ neurons in the TG and axons in the dental pulp expressed VGLUT2, while none expressed VGLUT1. TRPM8+ axons were dense in the pulp horn and peripheral pulp and also frequently observed in the dentinal tubules. Following pulpal inflammation, the proportion of VGLUT2+ and of VGLUT2+/TRPM8+ neurons increased significantly, whereas that of TRPM8+ neurons remained unchanged. Our findings suggest the existence of VGLUT2 (but not VGLUT1)-mediated glutamate signaling in TRPM8+ neurons possibly underlying the cold-induced acute pain and hypersensitivity to cold following pulpal inflammation. (C) 2015 IBRO. Published by Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,"0306-4522","1873-7544",NA,"WOS:000359207100033","26166724","J",1,4,"Neuron","2010","","543","http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6WSS-51CSGBM-P-X&_cdi=7054&_user=530453&_pii=S0896627310007257&_origin=browse&_zone=rslt_list_item&_coverDate=11%2F04%2F2010&_sk=999319996&wchp=dGLzVzb-zSkWA&md5=1b21adb0a149b377c4d06cf3f75e9aed&ie=/sdarticle.pdf","mice","low-level neurosci!","YES","several temperatures","within","behavior","US","potentially serious: relevant info is missing"
"64","Mandela, Prashant; Ma, Xin-Ming",NA,NA,NA,NA,NA,NA,NA,"Kalirin, a Key Player in Synapse Formation, Is Implicated in Human Diseases",NA,NA,NA,NA,NA,NA,NA,"NEURAL PLASTICITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"728161","10.1155/2012/728161",NA,NA,"2012","2012","Synapse formation is considered to be crucial for learning and memory. Understanding the underlying molecular mechanisms of synapse formation is a key to understanding learning and memory. Kalirin-7, a major isoform of Kalirin in adult rodent brain, is an essential component of mature excitatory synapses. Kalirin-7 interacts with multiple PDZ-domain-containing proteins including PSD95, spinophilin, and GluR1 through its PDZ-binding motif. In cultured hippocampal/cortical neurons, overexpression of Kalirin-7 increases spine density and spine size whereas reduction of endogenous Kalirin-7 expression decreases synapse number, and spine density. In Kalirin-7 knockout mice, spine length, synapse number, and postsynaptic density (PSD) size are decreased in hippocampal CA1 pyramidal neurons; these morphological alterations are accompanied by a deficiency in long-term potentiation (LTP) and a decreased spontaneous excitatory postsynaptic current (sEPSC) frequency. Human Kalirin-7, also known as Duo or Huntingtin-associated protein-interacting protein (HAPIP), is equivalent to rat Kalirin-7. Recent studies show that Kalirin is relevant to many human diseases such as Huntington's Disease, Alzheimer's Disease, ischemic stroke, schizophrenia, depression, and cocaine addiction. This paper summarizes our recent understanding of Kalirin function.",NA,NA,NA,NA,NA,NA,NA,NA,"14","0","0","13","0","14",NA,NA,"0792-8483",NA,NA,"WOS:000303715200001",NA,"J",1,1,"JN","2010 (30)","13","4590","http://www.jneurosci.org/cgi/reprint/30/13/4590","mice","low-level neurosci","YES","mutants vs controls","between","EPSC amplitude","US","potentially serious: relevant info is missing"
"91","Schulte-Herbrueggen, Olaf; Vogt, Miriam A.; Hoertnagl, Heide; Gass, Peter; Hellweg, Rainer",NA,NA,NA,NA,"Vogt, Miriam Annika/0000-0002-3400-5067",NA,NA,"Pramipexole is active in depression tests and modulates monoaminergic transmission, but not brain levels of BDNF in mice",NA,NA,NA,NA,NA,NA,NA,"EUROPEAN JOURNAL OF PHARMACOLOGY",NA,NA,NA,"677","42372",NA,NA,"77","86",NA,"10.1016/j.ejphar.2011.12.014",NA,NA,"FEB 29 2012","2012","The dopamine D-2/D-3 receptor agonist pramipexole exerts antidepressive capacities in patients with Parkinson's disease with little evidence for patients with affective diseases only. Little is known about the neurobiological basis of these antidepressive effects. In this study, C57BL/6N mice received acute or chronic (3 weeks) treatment with pramipexole in different dosages (0.1, 0.3, 1, and 3 mg/kg b.w.) and imipramine or saline serving as positive and negative controls. To characterize antidepressant-like effects mice underwent behavioral characterization. In a second experiment dosages of pramipexole shown to be effective were used and candidate brain regions including hippocampus, frontal cortex and striatum were analyzed for levels of 5-hydroxytryptamine (5-HT), noradrenaline and dopamine and their metabolites as well as brain-derived neurotrophic factor (BDNF) to investigate possible neurochemical correlates of behavioral changes. Whereas acute treatment with pramipexole resulted in antidepressive-like effects in the Porsolt Forced Swim Test, Novel Cage Test, Openfield Test and Dark-light-Box Test and a tendency but insignificant effect in the Tail Suspension Test, chronic treatment did not show significant effects in any of the behavioral analyses. Neurochemical analyses revealed a highly significant effect on dopaminergic metabolites in the striatum as well as a moderate transient modulation of the serotonergic system in the hippocampus. BDNF levels were not affected by any dosage and treatment regime in any brain region investigated. In conclusion, the present data substantiate antidepressive effects of pramipexole and indicate a contribution of the dopaminergic and serotonergic metabolism in these effects, but argue against an eminent role of BDNF. (C) 2011 Elsevier B.V. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,"9","0","0","8","0","9",NA,NA,"0014-2999",NA,NA,"WOS:000300731200011","22206815","J",1,1,"Science","2009","21-Aug","1018","5943","rats","LTM, shocks, dopamine","YES","Vehicle vs. neurotransmitter","between","behavioral","Brazil","data suggest: not serious"
