"index","PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","X","year","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26"
13,"J","Cho, ZH; Chung, SC; Jones, JP; Park, JB; Park, HJ; Lee, HJ; Wong, EK; Min, BI",NA,"",NA,"Cho, Z. H.; Chung, S. C.; Jones, J. P.; Park, J. B.; Park, H. J.; Lee, H. J.; Wong, E. K.; Min, B. I.",NA,"","New findings of the correlation between acupoints and corresponding brain cortices using functional MRI (Retraction of vol 95, pg 2670, 1998)","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0027-8424","","",NA,NA,"05-Jul",2006,"103","27","",NA,"",NA,"10527","10527","","10.1073/pnas.0602520103","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000239069400071",16790551,NA,1998,"Cho, ZH"," Chung, SC"," Jones, JP"," Park, JB"," Park, HJ"," Lee, HJ"," Wong, EK"," Min, BI","","","","","","","","","","","","","","","","","",""
16,"J","Potti, A; Dressman, HK; Bild, A; Riedel, RF; Chan, GN; Sayer, R; Cragun, J; Cottrill, H; Kelley, MJ; Petersen, R; Harpole, D; Marks, J; Berchuck, A; Ginsburg, GS; Febbo, P; Lancaster, J; Nevins, JR",NA,"",NA,"Potti, Anil; Dressman, Holly K.; Bild, Andrea; Riedel, Richard F.; Chan, Gina; Sayer, Robyn; Cragun, Janiel; Cottrill, Hope; Kelley, Michael J.; Petersen, Rebecca; Harpole, David; Marks, Jeffrey; Berchuck, Andrew; Ginsburg, Geoffrey S.; Febbo, Phillip; Lancaster, Johnathan; Nevins, Joseph R.",NA,"","Genomic signatures to guide the use of chemotherapeutics (Retraction of vol 12, pg 1294, 2006)","NATURE MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1078-8956","","",NA,NA,"JAN",2011,"17","1","",NA,"",NA,"135","135","","10.1038/nm0111-135","",NA,"Biochemistry & Molecular Biology; Cell Biology; Medicine, Research & Experimental","Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine",NA,"WOS:000285994000047",21217686,NA,2006,"Potti, A"," Dressman, HK"," Bild, A"," Riedel, RF"," Chan, GN"," Sayer, R"," Cragun, J"," Cottrill, H"," Kelley, MJ"," Petersen, R"," Harpole, D"," Marks, J"," Berchuck, A"," Ginsburg, GS"," Febbo, P"," Lancaster, J"," Nevins, JR","","","","","","","","",""
17,"J","Gowen, LC; Avrutskaya, AV; Latour, AM; Koller, BH; Leadon, SA",NA,"",NA,"Gowen, LC; Avrutskaya, AV; Latour, AM; Koller, BH; Leadon, SA",NA,"","BRCA1 required for transcription-coupled repair of oxidative DNA damage (Retraction of vol 281, pg 1009, 1998)","SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-8075","","",NA,NA,"13-Jun",2003,"300","5626","",NA,"",NA,"1657","1657","","","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000183459700014",12805518,NA,1998,"Gowen, LC"," Avrutskaya, AV"," Latour, AM"," Koller, BH"," Leadon, SA","","","","","","","","","","","","","","","","","","","","",""
18,"J","Razem, FA; El-Kereamy, A; Abrams, SR; Hill, RD",NA,"",NA,"Razem, Fawzi A.; El-Kereamy, Ashraf; Abrams, Suzanne R.; Hill, Robert D.",NA,"","The RNA-binding protein FCA is an abscisic acid receptor (Retraction of vol 439, pg 290, 2006)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"11-Dec",2008,"456","7223","",NA,"",NA,"824","824","","10.1038/nature07645","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000261559900057",19079059,NA,2006,"Razem, FA"," El-Kereamy, A"," Abrams, SR"," Hill, RD","","","","","","","","","","","","","","","","","","","","","",""
19,"J","Kawasaki, H; Taira, K",NA,"",NA,"Kawasaki, H; Taira, K",NA,"","Hes1 is a target of microRNA-23 during retinoic-acid-induced neuronal differentiation of NT2 cells (Retraction of vol 423, pg 838, 2003)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"06-Nov",2003,"426","6962","",NA,"",NA,"100","100","","10.1038/nature02141","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000186370800050",14603326,NA,2003,"Kawasaki, H"," Taira, K","","","","","","","","","","","","","","","","","","","","","","","",""
21,"J","Le Page, F; Kwoh, EE; Avrutskaya, A; Gentil, A; Leadon, SA; Sarasin, A; Cooper, PK",NA,"",NA,"Le Page, F; Kwoh, EE; Avrutskaya, A; Gentil, A; Leadon, SA; Sarasin, A; Cooper, PK",NA,"","Transcription-coupled repair of 8-oxoguanine: Requirement for XPG, TFIIH, and CSB and implications for Cockayne syndrome (Retraction of vol 101, pg 159, 2000)","CELL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0092-8674","","",NA,NA,"08-Nov",2005,"123","4","",NA,"",NA,"711","711","","10.1016/j.cell.2005.11.005","",NA,"Biochemistry & Molecular Biology; Cell Biology","Biochemistry & Molecular Biology; Cell Biology",NA,"WOS:000233497400018",16329169,NA,2000,"Le Page, F"," Kwoh, EE"," Avrutskaya, A"," Gentil, A"," Leadon, SA"," Sarasin, A"," Cooper, PK","","","","","","","","","","","","","","","","","","",""
22,"J","Kawasaki, H; Taira, K",NA,"",NA,"Kawasaki, H; Taira, K",NA,"","Induction of DNA methylation and gene silencing by short interfering RNAs in human cells (Retraction of vol 431, pg 211, 2004)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"28-Jun",2006,"441","7097","",NA,"",NA,"1176","1176","","10.1038/nature04952","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000238615500056",NA,NA,2004,"Kawasaki, H"," Taira, K","","","","","","","","","","","","","","","","","","","","","","","",""
24,"J","Day, NPJ; Moore, CE; Enright, MC; Berendt, AR; Smith, JM; Murphy, MF; Peacock, SJ; Spratt, BG; Feil, EJ",NA,"",NA,"Day, NPJ; Moore, CE; Enright, MC; Berendt, AR; Smith, JM; Murphy, MF; Peacock, SJ; Spratt, BG; Feil, EJ",NA,"","A link between virulence and ecological abundance in natural populations of Staphylococcus aureus (Retraction of vol 292, 114, 2001)","SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Spratt, Brian/A-1676-2009","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0036-8075","","",NA,NA,"08-Feb",2002,"295","5557","",NA,"",NA,"971","971","","","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000173793000021",11887789,NA,2001,"Day, NPJ"," Moore, CE"," Enright, MC"," Berendt, AR"," Smith, JM"," Murphy, MF"," Peacock, SJ"," Spratt, BG"," Feil, EJ","","","","","","","","","","","","","","","","",""
25,"J","Soetedjo, L; Glover, DA; Jin, H",NA,"",NA,"Soetedjo, Livana; Glover, De'Vona A.; Jin, Hua",NA,"","Targeting of vasoactive intestinal peptide receptor 2, VPAC2, a secretin family G-protein coupled receptor, to primary cilia (Retraction of vol 2, pg 686, 2013)","BIOLOGY OPEN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2046-6390","","",NA,NA,"15-Jul",2013,"2","7","",NA,"",NA,"","","","10.1242/bio.20134747","",NA,"Biology","Life Sciences & Biomedicine - Other Topics",NA,"WOS:000209206400005",23862016,NA,2013,"Soetedjo, L"," Glover, DA"," Jin, H","","","","","","","","","","","","","","","","","","","","","","",""
26,"J","Xu, Y; Zhu, K; Hong, G; Wu, W; Baudhuin, LM; Xiao, Y; Damron, DS",NA,"",NA,"Xu, Y; Zhu, K; Hong, G; Wu, W; Baudhuin, LM; Xiao, Y; Damron, DS",NA,"","Sphingosylphosphorylcholine is a ligand for ovarian cancer G-protein-coupled receptor1. (Retraction of Nature Cell Biol, vol 2, pg 261, 2000)","NATURE CELL BIOLOGY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1465-7392","","",NA,NA,"MAR",2006,"8","3","",NA,"",NA,"299","299","","","",NA,"Cell Biology","Cell Biology",NA,"WOS:000235708000019",NA,NA,2000,"Xu, Y"," Zhu, K"," Hong, G"," Wu, W"," Baudhuin, LM"," Xiao, Y"," Damron, DS","","","","","","","","","","","","","","","","","","",""
27,"J","Potti, A; Mukherjee, S; Petersen, R; Dressman, HK; Bild, A; Koontz, J; Kratzke, R; Watson, MA; Kelley, M; Ginsburg, GS; West, M; Harpole, DH; Nevins, JR",NA,"",NA,"Potti, Anil; Mukherjee, Sayan; Petersen, Rebecca; Dressman, Holly K.; Bild, Andrea; Koontz, Jason; Kratzke, Robert; Watson, Mark A.; Kelley, Michael; Ginsburg, Geoffrey S.; West, Mike; Harpole, David H., Jr.; Nevins, Joseph R.",NA,"","A Genomic Strategy to Refine Prognosis in Early-Stage Non-Small-Cell Lung Cancer. (Retraction of vol 355, pg 570, 2006)","NEW ENGLAND JOURNAL OF MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-4793","1533-4406","",NA,NA,"24-Mar",2011,"364","12","",NA,"",NA,"1176","1176","","10.1056/NEJMc1101915","",NA,"Medicine, General & Internal","General & Internal Medicine",NA,"WOS:000288701100016",21366430,NA,2006,"Potti, A"," Mukherjee, S"," Petersen, R"," Dressman, HK"," Bild, A"," Koontz, J"," Kratzke, R"," Watson, MA"," Kelley, M"," Ginsburg, GS"," West, M"," Harpole, DH"," Nevins, JR","","","","","","","","","","","","",""
30,"J","Lo, SC; Pripuzova, N; Li, BJ; Komaroff, AL; Hung, GC; Wang, R; Alter, HJ",NA,"",NA,"Lo, Shyh-Ching; Pripuzova, Natalia; Li, Bingjie; Komaroff, Anthony L.; Hung, Guo-Chiuan; Wang, Richard; Alter, Harvey J.",NA,"","Detection of MLV-related virus gene sequences in blood of patients with chronic fatigue syndrome and healthy blood donors (Retraction of vol 107, pg 15874, 2010)","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0027-8424","","",NA,NA,"03-Jan",2012,"109","1","",NA,"",NA,"346","346","","10.1073/pnas.1119641109","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000298876500068",22203980,NA,2010,"Lo, SC"," Pripuzova, N"," Li, BJ"," Komaroff, AL"," Hung, GC"," Wang, R"," Alter, HJ","","","","","","","","","","","","","","","","","","",""
31,"J","Spalart, PR; Coleman, GN; Johnstone, R",NA,"",NA,"Spalart, Philippe R.; Coleman, Gary N.; Johnstone, Roderick",NA,"","Direct numerical simulation of the Ekman layer: A step in Reynolds number, and cautious support for a log law with a shifted origin (Retraction of vol 20, 101507, 2008)","PHYSICS OF FLUIDS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1070-6631","","",NA,NA,"OCT",2009,"21","10","",NA,"",NA,"","","109901","10.1063/1.3247176","",NA,"Mechanics; Physics, Fluids & Plasmas","Mechanics; Physics",NA,"WOS:000271358900043",NA,NA,2008,"Spalart, PR"," Coleman, GN"," Johnstone, R","","","","","","","","","","","","","","","","","","","","","","",""
32,"J","Stermitz, FR; Hufbauer, RA; Vivanco, JM",NA,"",NA,"Stermitz, F. R.; Hufbauer, R. A.; Vivanco, J. M.",NA,"","Enantiomeric-Dependent Phytotoxic and Antimicrobial Activity of (+/-)-Catechin. A Rhizosecreted Racemic Mixture from Spotted Knapweed (Retraction of vol 128, pg 1173, 2002)","PLANT PHYSIOLOGY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0032-0889","","",NA,NA,"OCT",2009,"151","2","",NA,"",NA,"967","967","","10.1104/pp.109.900302","",NA,"Plant Sciences","Plant Sciences",NA,"WOS:000270389500041",NA,NA,2002,"Stermitz, FR"," Hufbauer, RA"," Vivanco, JM","","","","","","","","","","","","","","","","","","","","","","",""
33,"J","Boo, YC",NA,"",NA,"Boo, Y. C.",NA,"","Shear stress stimulates phosphorylation of protein kinase A substrate proteins including endothelial nitric oxide synthase in endothelial cells. (Retraction of vol 38, pg 63, 2006)","EXPERIMENTAL AND MOLECULAR MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1226-3613","","",NA,NA,"31-Aug",2006,"38","4","",NA,"",NA,"453","453","","","",NA,"Biochemistry & Molecular Biology; Medicine, Research & Experimental","Biochemistry & Molecular Biology; Research & Experimental Medicine",NA,"WOS:000240372500014",16981308,NA,2006,"Boo, YC","","","","","","","","","","","","","","","","","","","","","","","","",""
34,"J","Zhu, K; Baudhuin, LM; Hong, GY; Williams, FS; Cristina, KL; Kabarowski, JHS; Witte, ON; Xu, Y",NA,"",NA,"Zhu, K; Baudhuin, LM; Hong, GY; Williams, FS; Cristina, KL; Kabarowski, JHS; Witte, ON; Xu, Y",NA,"","Sphingosylphosphorylcholine and lysophosphatidylcholine are ligands for the G protein-coupled receptor GPR4. (Retraction of vol 276, pg 41325, 2001)","JOURNAL OF BIOLOGICAL CHEMISTRY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0021-9258","","",NA,NA,"30-Dec",2005,"280","52","",NA,"",NA,"43280","43280","","","",NA,"Biochemistry & Molecular Biology","Biochemistry & Molecular Biology",NA,"WOS:000234200800095",NA,NA,2001,"Zhu, K"," Baudhuin, LM"," Hong, GY"," Williams, FS"," Cristina, KL"," Kabarowski, JHS"," Witte, ON"," Xu, Y","","","","","","","","","","","","","","","","","",""
35,"J","Mclaughlin, AC; Sher, F; Attfield, JP",NA,"",NA,"Mclaughlin, AC; Sher, F; Attfield, JP",NA,"","Negative lattice expansion from the superconductivity-antiferromagnetism crossover in ruthenium copper oxides (Retraction of vol 436, pg 829, 2005)","NATURE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"sher, Falak/G-3412-2015","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0028-0836","","",NA,NA,"13-Oct",2005,"437","7061","",NA,"",NA,"1057","1057","","10.1038/nature04182","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000232496100053",16222303,NA,2005,"Mclaughlin, AC"," Sher, F"," Attfield, JP","","","","","","","","","","","","","","","","","","","","","","",""
